time,simulation,TRAIL_conc
8322.161551566245,0,50ng/mL
9403.173134918263,1,50ng/mL
8790.654623430622,2,50ng/mL
8165.997739976944,3,50ng/mL
9128.685293431072,4,50ng/mL
9795.41056238684,5,50ng/mL
9064.484874590591,6,50ng/mL
8952.249296725699,7,50ng/mL
9512.958096894114,8,50ng/mL
9001.933208715633,9,50ng/mL
8499.038483204975,10,50ng/mL
8137.943467413304,11,50ng/mL
9604.793493699224,12,50ng/mL
8367.789446606404,13,50ng/mL
8105.698150626705,14,50ng/mL
8434.363829192878,15,50ng/mL
9105.607836606529,16,50ng/mL
8105.844356143469,17,50ng/mL
8595.357199394928,18,50ng/mL
9371.099728635032,19,50ng/mL
8983.014026615176,20,50ng/mL
9151.712008633367,21,50ng/mL
8945.550673701897,22,50ng/mL
8795.182638602944,23,50ng/mL
8563.363534678294,24,50ng/mL
10373.58355514389,25,50ng/mL
8480.065278163473,26,50ng/mL
9545.204349000353,27,50ng/mL
8662.825179462632,28,50ng/mL
8879.279435905306,29,50ng/mL
8069.638152038565,30,50ng/mL
9050.453093493745,31,50ng/mL
8887.76652093282,32,50ng/mL
9746.164505326095,33,50ng/mL
9999.065160855169,34,50ng/mL
8626.995331625716,35,50ng/mL
8379.398751043866,36,50ng/mL
8885.662625412495,37,50ng/mL
8826.709448225465,38,50ng/mL
8460.455377881306,39,50ng/mL
9606.68964942623,40,50ng/mL
8474.74872485534,41,50ng/mL
8815.86845815347,42,50ng/mL
8964.323977335214,43,50ng/mL
10385.160129073709,44,50ng/mL
9550.318824475322,45,50ng/mL
9020.019761455023,46,50ng/mL
7709.447277914114,47,50ng/mL
9625.194688265981,48,50ng/mL
9422.833388836749,49,50ng/mL
10325.955415700148,50,10ng/mL
9171.75785269718,51,10ng/mL
10594.52301313368,52,10ng/mL
11459.853909414636,53,10ng/mL
10687.10458535905,54,10ng/mL
11073.061150026555,55,10ng/mL
10498.374363542718,56,10ng/mL
9091.772830363929,57,10ng/mL
10624.350177082533,58,10ng/mL
9503.020329786239,59,10ng/mL
10746.481171087013,60,10ng/mL
10233.829936806276,61,10ng/mL
10293.40299536934,62,10ng/mL
11356.975702443631,63,10ng/mL
9130.696778494055,64,10ng/mL
8721.725336606949,65,10ng/mL
10414.50884626234,66,10ng/mL
10875.764620969203,67,10ng/mL
8811.716054638626,68,10ng/mL
12586.328207695791,69,10ng/mL
11080.22061166338,70,10ng/mL
10777.989463937582,71,10ng/mL
10618.410706000375,72,10ng/mL
9915.894455451264,73,10ng/mL
10016.932357933261,74,10ng/mL
8515.921509778942,75,10ng/mL
10000.183795915273,76,10ng/mL
10161.97301383953,77,10ng/mL
10474.345559124858,78,10ng/mL
10955.491496687078,79,10ng/mL
10213.590373169493,80,10ng/mL
11509.184236781304,81,10ng/mL
9270.627545152405,82,10ng/mL
11403.328847150018,83,10ng/mL
10833.716986473979,84,10ng/mL
11247.202811487046,85,10ng/mL
9913.508484510878,86,10ng/mL
11052.435059402293,87,10ng/mL
10918.873868494149,88,10ng/mL
9750.786810103249,89,10ng/mL
10652.62706262032,90,10ng/mL
11156.710801643007,91,10ng/mL
10596.73886186245,92,10ng/mL
10229.212438948849,93,10ng/mL
9907.266038017295,94,10ng/mL
9505.823587394128,95,10ng/mL
9900.970101390247,96,10ng/mL
9116.86833410129,97,10ng/mL
10494.420347404775,98,10ng/mL
10790.035127293959,99,10ng/mL
